Date,Product Name,Number Of Bugs
08/01/2015,Arista Router,10
08/01/2015,Cisco Router,1
09/10/2015,Arista Router,3
09/10/2015,Cisco Switch,13
09/10/2015,Arista Router,6
10/23/2015,Arista Router,8
10/23/2015,Juniper Router,1
10/23/2015,Dell Server,5
10/23/2015,HP Server,7
10/23/2015,Cisco Router,10
10/23/2015,Arista Router,12
10/23/2015,Dell Server,6
12/12/2015,HP Server,4
12/12/2015,Arista Router,5
12/12/2015,Dell Server,7
12/12/2015,Cisco Router,9
12/12/2015,Arista Router,11
12/12/2015,Dell Server,18
12/12/2015,Cisco Router,16
12/12/2015,Arista Router,4
12/12/2015,Juniper Router,16
12/12/2015,Cisco Router,18
12/12/2015,Arista Router,20
12/12/2015,Dell Server,0
12/12/2015,HP Server,2
01/01/2016,Arista Router,23
01/01/2016,Dell Server,11
01/01/2016,Juniper Router,18
01/01/2016,Arista Router,16
01/01/2016,Arista Router,4
01/01/2016,Juniper Router,16
01/01/2016,Cisco Router,18
02/26/2016,HP Server,20
02/26/2016,Juniper Router,0
02/26/2016,Dell Server,2
02/26/2016,Juniper Router,23
02/26/2016,HP Server,3
02/26/2016,HP Server,30
02/26/2016,HP Server,31
02/26/2016,Arista Router,4
02/26/2016,Arista Router,12
02/26/2016,Cisco Router,21
03/09/2016,Dell Server,23
03/09/2016,HP Server,2
03/09/2016,HP Server,27
03/09/2016,HP Server,28
03/09/2016,Cisco Router,20
04/19/2016,Arista Router,1
04/19/2016,HP Server,0